"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.505922165820643","0.48582995951417","0.429978118161926","0.407916806440792","0.383268482490272","0.0186075360521011","0.0186174866510853","0.0180539339920836","0.0180105822419485","0.0175662581169615","0.0173277773977134","0.0175077037289373","0.0178385963799542","0.0169973987102413","0.0199068534264945","0.0204920878910203","0.0203949029261921","0.0214687486582032","0.0178174595128952","0.0148129732019303","0.0125197884306596","0.0186117680674113","0.0239185699152083","0.0222530297372096","0.0275726826443453","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","15.1535857734782","14.7945539056283","13.2050330969249","14.3643945135447","17.4300802617205","17.0046222787265","16.5173469598383","17.2072521733563","17.3037430823979","17.5004826857194","18.9730432802662","12.4595140230814","12.8052821285967","12.3106174431607","11.9951044753501","12.5390190787474","13.1451890397188","13.2636357664348","12.31756654763","12.5797068290846","12.5383970883678","12.7889590050962","11.0150152952369","9.86821985182251","9.79485410009214","10.0292563262971","10.9704784371988","12.2215133695382","12.6818647179216","11.2473066991513","10.516220991667","11.4295523146666","11.6033961441504","12.5265306021432","13.528791245824","13.6869138761414","13.4006683128303","11.9164152300846","12.6371978405155","14.6470704989619","13.4049357534132","13.8586588820102",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6278918638443","37.4188554431481","29.7210671376957","31.114854912062","28.6359685844686","30.1050113574013","24.8922700059742","29.2975010547259","26.2100685374552","23.7436639877543","24.390873626371","22.8106627361766","22.1370413719574","20.6343227166798","25.7403140364582","26.4201990834448","22.0428967527575","25.7739707394105","29.9755825210461","33.5976188725451","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","15.7809076580823","16.9918250377364","18.665091071646","21.1403219108185","21.2284949875791","22.6508151004776","24.7271001079094","26.372809673059","25.5704453854085","24.6170707658748","24.6391861480491","24.5919996797172","24.4104932242564","25.3979000103317","25.7279440212295","25.6828261436387","26.5695627147986","27.165894382481","24.1014126464706","21.220056268152","23.2816099537844","30.2186301398614","28.0392954386997","24.2452656712913","23.5631162409723","22.528143141577","22.2001343250619","22.747295137494","23.7703194265601","22.1931852058149","20.6144433395997","20.4583020299575","19.608271150743","19.2297262346225","20.2556937218621","20.5725898186466","20.4348830097963","20.4882606125269","20.7672763301389","22.5110189863166","21.6734206807604","21.959686167969",
"Angola","AGO","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.65321372200356","7.02686916586973","9.00201794169947","12.9111824086392","6.29025682837342","5.66468956353548","8.15637702246655","5.8395499748266","6.19838450193387","6.25087790478717","5.06040294790886","5.19128018876127","5.24227833734658","4.80533933843347","6.62119676383424","6.18029349810839","5.84568087986773","6.06962999112471","6.50749231982044","7.5470567791822","9.12253437222206","9.83116886032956","10.0169959653141","8.60774180183334","7.88262506936516","9.94654357144815","11.4863453766476","13.6491094624883",
"Albania","ALB","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.410863772173","31.5434438797069","28.7856504386147","25.9187455195517","24.5154120419235","22.7161641958722","22.0251140879353","21.9782570845961","20.537486307981","18.8453087247237","17.7083536239523","17.1536195739533","16.8370538440754","16.7943836018798","17.9558663972347","18.2267896025292","18.7668018946422","19.5651578123229","19.9901813581977","19.7802144171366","19.8499944651163","19.0221266422351","18.4294953023634","18.3893323354028","19.2252227057273","18.3581252459328","18.6228214469268",
"Andorra","AND","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.517055747893417","0.441953155279431","0.385887245890569","0.419117893036526","0.414741997881256","0.380576808035011","0.353522338328863","0.368796683946436","0.406917963904405","0.418928933319218","0.466508601972863","0.490560827241276","0.601164453935572","0.585558984254785","0.537623493009676","0.513420109683398","0.521999648433619","0.559538512516191","0.546367882815281","0.522633248415779","0.559442769715814","0.533617929562433","0.495686274509804",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","14.811067163758","14.4127006062217","14.7257286460533","13.9856620976703","13.8669424781934","12.4057154655739","7.76859076854238","7.98924597519721","7.43578746058109","7.10152929763202","7.36530828049843","5.71852059154988","4.83765766893119","5.22183193292134","6.12190541294436","6.86358911165386","7.45277426110126","8.22121351944716","9.80462573527464","10.4727313660867","10.7356368537762","11.3032334624006","10.5868065574668","12.5949827015226","9.74345309335762","9.8994443630923","11.1401144053093","10.6042071334271","10.4745563886101","9.8861086277208","11.1670580616476","9.74191047548808","8.6981575787035","9.34629323295772","9.40597267924142","9.01929279512169","8.09836459104896","7.1201409030091","6.95276521455034","6.80456821198178","6.19196505296212","7.77771295983261","7.05211288245429","5.41847068126973","4.97443124149925","5.02337348513569","5.30608910021609","6.03997135934595","5.92696011810585","5.57935333670613","4.68876536880349","4.94744642482348","5.63985901760238","4.93726666303563","4.35270880545947",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","0.540188294205409","0.545088280601967","0.485156877691024","0.629067480796601","0.54722317809093","0.490602457342951","0.548306764658785","0.640366457885388","0.730600581680254","0.842471510389179","0.925826534993559","1.18452414390845","1.14322934213777","1.19773519163763","1.19302579195627","1.0584284754869","1.29776800811633","1.37862107758448","1.48090107737512","1.83042501688033","1.78706830470903","1.79243187203791","2.00402186456958","2.18089049130306","2.33324519711343","2.26265009303746","2.23820016235649","2.20332258864369","1.92768393253654","1.66536190905993","1.39540987408529","1.09424400194674","0.976671167666283","0.82730546409323","1.03688688860825","0.735025770535299","0.651421594936876","0.627943993218947","0.633172495058869","0.628716004185158","0.723671593030506","0.750862912190636","0.761757601656358","0.711463999831489","0.746712201018526","0.963890712780097","0.943418359308674","0.823739508742875",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","12.9041629886915","10.2787574725073","9.98038631665412","9.72127698537181","9.18580964838541","9.6375609641048","10.8658823843399","10.984869871837","11.9525224881086","10.2308377488651","6.5839104917193","8.15217071197931","8.0871421139688","7.5044274778029","7.79627735939132","6.35350500487903","6.47552296063439","9.59615604621897","8.65832496118367","8.3459768371011","7.63430725730443","7.80040264019792","8.09435846444628","8.97786821775225","9.61606509643166","8.12367620787488","6.71649176009431","5.99078709147934","5.13682648211779","5.08266800031075","5.351464616273","5.61086611323361","5.22197210944516","5.25272256987622","4.45782610229152","4.67991094417297","4.56858960891786","10.2066467144411","10.328166939117","8.36248661002826","7.93875427420938","6.93557229126392","7.45235394606923","7.3189545972436","5.2736234689014","7.13216745078964","6.99873377022519","5.7817442068501","6.05291843670451","6.71270351428559","5.1566859021408","6.26456582010254","5.23162237725058","4.53787889681146","5.3185559967348","6.35703367575527","7.30630885522762","6.63989827840203",
